rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt
6,6,0,OLD,20171909,쥬만지: 새로운 세계,2018-01-03,185555435,1.7,81665897,78.6,13477032064,22832,10239,81.3,1665220,340,540
7,7,0,OLD,20179462,위대한 쇼맨,2017-12-20,95174200,0.9,33694500,54.8,10408880300,10982,3909,55.3,1270087,121,198
8,8,1,OLD,20176947,원더,2017-12-27,39304800,0.4,16097700,69.4,1566527145,5346,2144,67,199646,58,112
9,9,1,OLD,20173662,리틀 뱀파이어,2018-01-18,37994300,0.4,19502600,105.5,81588300,5080,2551,100.9,11224,211,249
10,10,-2,OLD,20189525,젝스키스 에이틴,2018-01-18,34787700,0.3,3518000,11.3,136014600,4365,137,3.2,17650,24,64
1,1,0,OLD,20175054,메이즈 러너: 데스 큐어,2018-01-17,2748605500,27.7,-410698383,-13,10581887863,321000,-45720,-12.5,1265956,1061,4430
2,2,0,OLD,20176104,그것만이 내 세상,2018-01-17,2183094200,22.0,-2543248,-0.1,7479660690,258836,-926,-0.4,910369,861,3423
3,3,0,OLD,20179985,코코,2018-01-11,1865833100,18.8,-24318217,-1.3,14398072833,231610,-3930,-1.7,1803022,971,2818
4,4,0,OLD,20170590,1987,2017-12-27,1478354200,14.9,-205708800,-12.2,53738938745,175482,-22713,-11.5,6668166,708,2642
5,5,0,OLD,20150976,신과함께-죄와 벌,2017-12-20,1143060400,11.5,-106660400,-8.5,108799838637,136973,-12512,-8.4,13542124,634,2051
6,6,0,OLD,20171909,쥬만지: 새로운 세계,2018-01-03,159587800,1.6,-25967635,-14,13636619864,19430,-3402,-14.9,1684650,325,502
7,7,0,OLD,20179462,위대한 쇼맨,2017-12-20,90213100,0.9,-4961100,-5.2,10499093400,10385,-597,-5.4,1280472,121,201
8,8,1,OLD,20173662,리틀 뱀파이어,2018-01-18,40294500,0.4,2300200,6.1,121882800,5252,172,3.4,16476,213,251
9,9,-1,OLD,20176947,원더,2017-12-27,37560900,0.4,-1743900,-4.4,1604088045,5128,-218,-4.1,204774,54,108
10,10,0,OLD,20189525,젝스키스 에이틴,2018-01-18,26122000,0.3,-8665700,-24.9,162136600,3400,-965,-22.1,21050,24,62
1,1,0,OLD,20175054,메이즈 러너: 데스 큐어,2018-01-17,802390400,26.3,-1946215100,-70.8,11384278263,102561,-218439,-68,1368517,971,4049
2,2,0,OLD,20176104,그것만이 내 세상,2018-01-17,770551400,25.2,-1412542800,-64.7,8250212090,100645,-158191,-61.1,1011014,843,3455
3,3,0,OLD,20179985,코코,2018-01-11,500954400,16.4,-1364878700,-73.2,14899027233,68326,-163284,-70.5,1871348,788,2395
4,4,0,OLD,20170590,1987,2017-12-27,395319700,12.9,-1083034500,-73.3,54134258445,52331,-123151,-70.2,6720497,689,2599
5,5,0,OLD,20150976,신과함께-죄와 벌,2017-12-20,373186800,12.2,-769873600,-67.4,109173025437,50149,-86824,-63.4,13592273,623,2034
6,6,0,OLD,20171909,쥬만지: 새로운 세계,2018-01-03,54509900,1.8,-105077900,-65.8,13691129764,7317,-12113,-62.3,1691967,321,552
7,7,0,OLD,20179462,위대한 쇼맨,2017-12-20,45560300,1.5,-44652800,-49.5,10544653700,5826,-4559,-43.9,1286298,135,216
8,8,1,OLD,20176947,원더,2017-12-27,16193100,0.5,-21367800,-56.9,1620281145,2489,-2639,-51.5,207263,58,120
9,9,1,OLD,20189525,젝스키스 에이틴,2018-01-18,14251200,0.5,-11870800,-45.4,176387800,2003,-1397,-41.1,23053,23,55
10,10,-2,OLD,20173662,리틀 뱀파이어,2018-01-18,10902500,0.4,-29392000,-72.9,132785300,1657,-3595,-68.5,18133,183,206
1,1,1,OLD,20176104,그것만이 내 세상,2018-01-17,787874300,25.8,17322900,2.2,9038086390,103234,2589,2.6,1114248,862,3485
2,2,-1,OLD,20175054,메이즈 러너: 데스 큐어,2018-01-17,721009000,23.6,-81381400,-10.1,12105287263,92062,-10499,-10.2,1460579,969,3981
3,3,0,OLD,20179985,코코,2018-01-11,527130900,17.2,26176500,5.2,15426158133,72957,4631,6.8,1944305,818,2385
4,4,1,OLD,20150976,신과함께-죄와 벌,2017-12-20,367788800,12.0,-5398000,-1.4,109540814237,49604,-545,-1.1,13641877,639,2033
5,5,-1,OLD,20170590,1987,2017-12-27,371003000,12.1,-24316700,-6.2,54505261445,49510,-2821,-5.4,6770007,688,2540
6,6,0,OLD,20171909,쥬만지: 새로운 세계,2018-01-03,56780500,1.9,2270600,4.2,13747910264,7734,417,5.7,1699701,318,536
7,7,0,OLD,20179462,위대한 쇼맨,2017-12-20,45317900,1.5,-242400,-0.5,10589971600,5879,53,0.9,1292177,144,225
8,8,0,NEW,20178230,커뮤터,2018-01-24,22727100,0.7,22727100,100,33730100,3035,3035,100,4670,25,25
9,9,-1,OLD,20176947,원더,2017-12-27,19414100,0.6,3221000,19.9,1639695245,3000,511,20.5,210263,62,118
10,10,0,OLD,20173662,리틀 뱀파이어,2018-01-18,15684800,0.5,4782300,43.9,148470100,2422,765,46.2,20555,194,213
1,1,0,OLD,20176104,그것만이 내 세상,2018-01-17,711562900,24.2,-76311400,-9.7,9749649290,92672,-10562,-10.2,1206920,754,3020
2,2,0,OLD,20175054,메이즈 러너: 데스 큐어,2018-01-17,545297200,18.6,-175711800,-24.4,12650584463,70060,-22002,-23.9,1530639,765,2902
3,3,0,OLD,20179985,코코,2018-01-11,455252200,15.5,-71878700,-13.6,15881410333,62595,-10362,-14.2,2006900,723,2144
4,4,0,OLD,20150976,신과함께-죄와 벌,2017-12-20,289826900,9.9,-77961900,-21.2,109830641137,39238,-10366,-20.9,13681115,550,1525
5,5,0,OLD,20170590,1987,2017-12-27,272188300,9.3,-98814700,-26.6,54777449745,35857,-13653,-27.6,6805864,547,1816
6,6,2,OLD,20178230,커뮤터,2018-01-24,265166800,9.0,242439700,1066.7,298896900,35006,31971,1053.4,39676,553,2593
